video_id,language,age_0_9,age_10s,age_20s,age_30s,age_40s,age_50plus,gender_male,gender_female
3uuVDEwERfs,ko,0.01,0.05,0.25,0.35,0.2,0.14,0.7,0.3
nqH6Sv_dFfs,ko,0,0,0,0,0,0,0,0
t2-I804mdzo,ko,0.05,0.75,0.15,0.025,0.02,0.005,0.45,0.55
56c6v_sgSEo,ko,0.0,0.05,0.7,0.15,0.05,0.05,0.9,0.1
wydGgyc_UHk,ko,0.01,0.05,0.2,0.3,0.3,0.14,0.3,0.7
8PClqnLxBuQ,ko,0.0,0.05,0.15,0.35,0.3,0.15,0.4,0.6
C7IStK_2q9U,ko,0.0,0.3,0.5,0.15,0.05,0.0,0.6,0.4
onMBSxeyvBc,ko,0.0,0.0,0.05,0.1,0.35,0.5,0.4,0.6
RO_F3ogmgaw,ko,0.01,0.15,0.4,0.3,0.1,0.04,0.3,0.7
8VLUF4EjoMs,ko,0.0,0.1,0.4,0.35,0.1,0.05,0.4,0.6
wT65vbyzhBQ,ko,0.0,0.05,0.15,0.35,0.35,0.1,0.3,0.7
e8mQ-Xot-cY,ko,0.01,0.05,0.1,0.2,0.3,0.34,0.45,0.55
mE7w0Z4xFtE,ko,0.0,0.7,0.25,0.05,0.0,0.0,0.6,0.4
XQNhwaD-U-o,ko,0.0,0.1,0.3,0.4,0.15,0.05,0.7,0.3
HBAgIf_1n48,ko,0.0,0.05,0.2,0.4,0.25,0.1,0.2,0.8
pqpuu6ui8UU,ko,0,0,0,0,0,0,0,0
rjMPUdz1tY8,ko,0.05,0.15,0.3,0.3,0.15,0.05,0.4,0.6
g2ri6aRUuYo,ko,0,0.1,0.4,0.3,0.15,0.05,0.6,0.4
JTCE83liTTU,ko,0.6,0.3,0.05,0.03,0.01,0.01,0.5,0.5
kTCuRJh45ZE,ko,0.0,0.2,0.5,0.2,0.1,0.0,0.3,0.7
g5BDxYhma-A,ko,0.0,0.0,0.1,0.3,0.4,0.2,0.5,0.5
lNU3HB7Klp8,ko,0.0,0.1,0.4,0.35,0.1,0.05,0.7,0.3
zdDZvdeSvWg,ko,0.05,0.75,0.15,0.03,0.01,0.01,0.5,0.5
3OSSzAfOCQ8,ko,0.0,0.2,0.5,0.25,0.05,0.0,0.4,0.6
